state_history,actions
"[[34.0, -6.0], [34.0, -7.0], [33.0, -8.0], [33.0, -9.0]]","[1.9999999545562674, 0.0]"
"[[34.0, -7.0], [33.0, -8.0], [33.0, -9.0], [33.0, -10.0]]","[1.9999999995254885, 0.0]"
"[[33.0, -8.0], [33.0, -9.0], [33.0, -10.0], [32.0, -10.0]]","[1.9999999979938465, 0.0]"
"[[33.0, -9.0], [33.0, -10.0], [32.0, -10.0], [32.0, -11.0]]","[1.9999999980487104, 0.0]"
"[[33.0, -10.0], [32.0, -10.0], [32.0, -11.0], [32.0, -12.0]]","[1.9999999988829134, 0.0]"
"[[32.0, -10.0], [32.0, -11.0], [32.0, -12.0], [31.0, -13.0]]","[1.9999999998830524, 0.0]"
"[[32.0, -11.0], [32.0, -12.0], [31.0, -13.0], [31.0, -14.0]]","[1.9999999999836944, 0.0]"
"[[32.0, -12.0], [31.0, -13.0], [31.0, -14.0], [31.0, -15.0]]","[1.9999999999242406, 0.0]"
"[[31.0, -13.0], [31.0, -14.0], [31.0, -15.0], [30.0, -16.0]]","[1.9999999999527, 0.0]"
"[[31.0, -14.0], [31.0, -15.0], [30.0, -16.0], [30.0, -16.0]]","[1.9999999999635412, 0.0]"
"[[31.0, -15.0], [30.0, -16.0], [30.0, -16.0], [30.0, -17.0]]","[-23.526999999999997, 1.9999999998643347]"
"[[30.0, -16.0], [30.0, -16.0], [30.0, -17.0], [29.0, -18.0]]","[-91.0, -70.0]"
"[[30.0, -16.0], [30.0, -17.0], [29.0, -18.0], [29.0, -18.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [40.0, -0.0]]","[1.999999998004873, 0.0]"
"[[None, None], [None, None], [40.0, -0.0], [39.0, 0.0]]","[1.999999999564024, 0.0]"
"[[None, None], [40.0, -0.0], [39.0, 0.0], [39.0, 1.0]]","[1.9999999997912326, 0.0]"
"[[40.0, -0.0], [39.0, 0.0], [39.0, 1.0], [39.0, 1.0]]","[1.9999999999236744, 0.0]"
"[[39.0, 0.0], [39.0, 1.0], [39.0, 1.0], [38.0, 2.0]]","[1.999999999936707, 0.0]"
"[[39.0, 1.0], [39.0, 1.0], [38.0, 2.0], [38.0, 2.0]]","[1.9999999999181173, 0.0]"
"[[39.0, 1.0], [38.0, 2.0], [38.0, 2.0], [38.0, 2.0]]","[1.9999999999023936, 0.0]"
"[[38.0, 2.0], [38.0, 2.0], [38.0, 2.0], [37.0, 2.0]]","[1.9999999998913227, 0.0]"
"[[38.0, 2.0], [38.0, 2.0], [37.0, 2.0], [37.0, 3.0]]","[1.9999999932758805, 0.0]"
"[[38.0, 2.0], [37.0, 2.0], [37.0, 3.0], [37.0, 3.0]]","[1.999999991104883, 0.0]"
"[[37.0, 2.0], [37.0, 3.0], [37.0, 3.0], [36.0, 2.0]]","[1.9999999908257329, 0.0]"
"[[37.0, 3.0], [37.0, 3.0], [36.0, 2.0], [36.0, 2.0]]","[1.999999992799622, 0.0]"
"[[37.0, 3.0], [36.0, 2.0], [36.0, 2.0], [36.0, 2.0]]","[1.9999999954687764, 0.0]"
"[[36.0, 2.0], [36.0, 2.0], [36.0, 2.0], [35.0, 2.0]]","[1.999999996761662, 0.0]"
"[[36.0, 2.0], [36.0, 2.0], [35.0, 2.0], [35.0, 1.0]]","[1.9999999948714398, 0.0]"
"[[36.0, 2.0], [35.0, 2.0], [35.0, 1.0], [35.0, 1.0]]","[1.9999999929392531, 0.0]"
"[[35.0, 2.0], [35.0, 1.0], [35.0, 1.0], [34.0, 0.0]]","[1.9999999914946114, 0.0]"
"[[35.0, 1.0], [35.0, 1.0], [34.0, 0.0], [34.0, -0.0]]","[1.9999999704404146, 0.0]"
"[[35.0, 1.0], [34.0, 0.0], [34.0, -0.0], [34.0, -1.0]]","[1.999999975734073, 0.0]"
"[[34.0, 0.0], [34.0, -0.0], [34.0, -1.0], [33.0, -2.0]]","[1.9999999771140216, 0.0]"
"[[34.0, -0.0], [34.0, -1.0], [33.0, -2.0], [33.0, -3.0]]","[1.9999999781384346, 0.0]"
"[[34.0, -1.0], [33.0, -2.0], [33.0, -3.0], [33.0, -4.0]]","[1.9999999953525804, 0.0]"
"[[33.0, -2.0], [33.0, -3.0], [33.0, -4.0], [32.0, -4.0]]","[1.9999999955265113, 0.0]"
