state_history,actions
"[[39.0, -9.0], [38.0, -10.0], [38.0, -11.0], [38.0, -12.0]]","[0.0, 0.0]"
"[[38.0, -10.0], [38.0, -11.0], [38.0, -12.0], [37.0, -13.0]]","[0.0, 0.0]"
"[[38.0, -11.0], [38.0, -12.0], [37.0, -13.0], [37.0, -14.0]]","[0.0, 0.0]"
"[[38.0, -12.0], [37.0, -13.0], [37.0, -14.0], [36.0, -15.0]]","[0.0, 0.0]"
"[[37.0, -13.0], [37.0, -14.0], [36.0, -15.0], [36.0, -16.0]]","[0.0, 0.0]"
"[[37.0, -14.0], [36.0, -15.0], [36.0, -16.0], [36.0, -17.0]]","[-24.5, 0.0]"
"[[36.0, -15.0], [36.0, -16.0], [36.0, -17.0], [35.0, -18.0]]","[-91.0, -70.0]"
"[[36.0, -16.0], [36.0, -17.0], [35.0, -18.0], [35.0, -18.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [48.0, -11.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [48.0, -11.0], [47.0, -10.0]]","[0.0, 0.0]"
"[[None, None], [48.0, -11.0], [47.0, -10.0], [47.0, -10.0]]","[0.0, 0.0]"
"[[48.0, -11.0], [47.0, -10.0], [47.0, -10.0], [46.0, -9.0]]","[0.0, 0.0]"
"[[47.0, -10.0], [47.0, -10.0], [46.0, -9.0], [46.0, -8.0]]","[0.0, 0.0]"
"[[47.0, -10.0], [46.0, -9.0], [46.0, -8.0], [46.0, -8.0]]","[0.0, 0.0]"
"[[46.0, -9.0], [46.0, -8.0], [46.0, -8.0], [45.0, -8.0]]","[0.0, 0.0]"
"[[46.0, -8.0], [46.0, -8.0], [45.0, -8.0], [45.0, -8.0]]","[0.0, 0.0]"
"[[46.0, -8.0], [45.0, -8.0], [45.0, -8.0], [44.0, -8.0]]","[0.0, 0.0]"
"[[45.0, -8.0], [45.0, -8.0], [44.0, -8.0], [44.0, -8.0]]","[0.0, 0.0]"
"[[45.0, -8.0], [44.0, -8.0], [44.0, -8.0], [44.0, -8.0]]","[0.0, 0.0]"
"[[44.0, -8.0], [44.0, -8.0], [44.0, -8.0], [43.0, -8.0]]","[0.0, 0.0]"
"[[44.0, -8.0], [44.0, -8.0], [43.0, -8.0], [43.0, -8.0]]","[0.0, 0.0]"
"[[44.0, -8.0], [43.0, -8.0], [43.0, -8.0], [42.0, -8.0]]","[0.0, 0.0]"
"[[43.0, -8.0], [43.0, -8.0], [42.0, -8.0], [42.0, -9.0]]","[0.0, 0.0]"
"[[43.0, -8.0], [42.0, -8.0], [42.0, -9.0], [42.0, -10.0]]","[0.0, 0.0]"
"[[42.0, -8.0], [42.0, -9.0], [42.0, -10.0], [41.0, -10.0]]","[0.0, 0.0]"
"[[42.0, -9.0], [42.0, -10.0], [41.0, -10.0], [41.0, -11.0]]","[0.0, 0.0]"
"[[42.0, -10.0], [41.0, -10.0], [41.0, -11.0], [40.0, -12.0]]","[0.0, 0.0]"
"[[41.0, -10.0], [41.0, -11.0], [40.0, -12.0], [40.0, -13.0]]","[0.0, 0.0]"
"[[41.0, -11.0], [40.0, -12.0], [40.0, -13.0], [40.0, -14.0]]","[0.0, 0.0]"
"[[40.0, -12.0], [40.0, -13.0], [40.0, -14.0], [39.0, -15.0]]","[0.0, 0.0]"
"[[40.0, -13.0], [40.0, -14.0], [39.0, -15.0], [39.0, -16.0]]","[0.0, 0.0]"
"[[40.0, -14.0], [39.0, -15.0], [39.0, -16.0], [38.0, -17.0]]","[0.0, 0.0]"
"[[39.0, -15.0], [39.0, -16.0], [38.0, -17.0], [38.0, -18.0]]","[0.0, 0.0]"
"[[39.0, -16.0], [38.0, -17.0], [38.0, -18.0], [38.0, -19.0]]","[0.0, 0.0]"
"[[38.0, -17.0], [38.0, -18.0], [38.0, -19.0], [37.0, -20.0]]","[0.0, 0.0]"
"[[38.0, -18.0], [38.0, -19.0], [37.0, -20.0], [37.0, -21.0]]","[0.0, 0.0]"
"[[38.0, -19.0], [37.0, -20.0], [37.0, -21.0], [36.0, -22.0]]","[0.0, 0.0]"
"[[37.0, -20.0], [37.0, -21.0], [36.0, -22.0], [36.0, -23.0]]","[0.0, 0.0]"
"[[37.0, -21.0], [36.0, -22.0], [36.0, -23.0], [36.0, -24.0]]","[-24.5, 0.0]"
"[[36.0, -22.0], [36.0, -23.0], [36.0, -24.0], [35.0, -25.0]]","[-91.0, -70.0]"
"[[36.0, -23.0], [36.0, -24.0], [35.0, -25.0], [35.0, -25.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [48.0, 2.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [48.0, 2.0], [47.0, 2.0]]","[0.0, 0.0]"
"[[None, None], [48.0, 2.0], [47.0, 2.0], [47.0, 3.0]]","[0.0, 0.0]"
"[[48.0, 2.0], [47.0, 2.0], [47.0, 3.0], [46.0, 4.0]]","[0.0, 0.0]"
"[[47.0, 2.0], [47.0, 3.0], [46.0, 4.0], [46.0, 4.0]]","[0.0, 0.0]"
"[[47.0, 3.0], [46.0, 4.0], [46.0, 4.0], [46.0, 4.0]]","[0.0, 0.0]"
